CADRE GENE ID,AFUB Gene ID,Af293 orthologue,public id,Description for A1163,Description for Af293
CADAFUBG00002343,AFUB_023490,CADAFUAG00004379,AFUA_2G07440,thioesterase family protein; encoded by transcript AFUB_023490A,"Afu2g07440 (Alt. Locus), thioesterase family protein"
CADAFUBG00002344,AFUB_023500,CADAFUAG00004039,AFUA_2G07450,PX domain protein; encoded by transcript AFUB_023500A,"Afu2g07450 (Alt. Locus), PX domain protein"
CADAFUBG00002345,AFUB_023510,CADAFUAG00004874,AFUA_2G07460,"RNA polymerase II transcriptional coactivator, putative; encoded by transcript AFUB_023510A","Afu2g07460 (Alt. Locus), RNA polymerase II transcriptional coactivator, putative"
CADAFUBG00002346,AFUB_023520,CADAFUAG00004729,AFUA_2G07470,conserved hypothetical protein; encoded by transcript AFUB_023520A,"Afu2g07470 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002347,AFUB_023530,CADAFUAG00004279,AFUA_2G07480,"C6 finger domain protein, putative; encoded by transcript AFUB_023530A","Afu2g07480 (Alt. Locus), C6 finger domain protein, putative"
CADAFUBG00002348,AFUB_023540,CADAFUAG00004366,AFUA_2G07490,conserved hypothetical protein; encoded by transcript AFUB_023540A,"Afu2g07490 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002349,AFUB_023550,CADAFUAG00004748,AFUA_2G07500,"prolidase pepP, putative; encoded by transcript AFUB_023550A","Afu2g07500 (Alt. Locus), prolidase pepP, putative, similar to prolidase (GI:14272361) (Emericella nidulans), (3.4.13.9)"
CADAFUBG00002350,AFUB_023560,CADAFUAG00004642,AFUA_2G07510,conserved hypothetical protein; encoded by transcript AFUB_023560A,"Afu2g07510 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002351,AFUB_023570,CADAFUAG00004451,AFUA_2G07520,leukotriene A4 hydrolase; encoded by transcript AFUB_023570A,Leukotriene A-4 hydrolase (EC 3.3.2.6)(Leukotriene A(4) hydrolase)(LTA-4 hydrolase) [Source:UniProtKB/Swiss-Prot;Acc:Q4X265]
CADAFUBG00002352,AFUB_023580,CADAFUAG00004695,AFUA_2G07530,conserved hypothetical protein; encoded by transcript AFUB_023580A,"Afu2g07530 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002353,AFUB_023590,CADAFUAG00004403,AFUA_2G07540,"TOR signalling pathway protein TipA, putative; encoded by transcript AFUB_023590A","Afu2g07540 (Alt. Locus), TOR signalling pathway protein TipA, putative, similar to TipA protein (GI:47824822) (Emericella nidulans)"
CADAFUBG00002354,AFUB_023600,CADAFUAG00004356,AFUA_2G07550,"serine/threonine protein kinase (Ark1), putative; encoded by transcript AFUB_023600A","Afu2g07550 (Alt. Locus), serine/threonine protein kinase (Ark1), putative, similar to S. pombe Aurora-related kinase 1, ARK1, SP:O59790, (2.7.1.-)"
CADAFUBG00002355,AFUB_023610,CADAFUAG00004260,AFUA_2G07560,"Ku70-binding protein, putative; encoded by transcript AFUB_023610A",Mitochondrial inner membrane protease atp23 (EC 3.4.24.-) [Source:UniProtKB/Swiss-Prot;Acc:Q4X261]
CADAFUBG00002356,AFUB_023620,CADAFUAG00004537,AFUA_2G07570,"glutamate 5-kinase, putative; encoded by transcript AFUB_023620A","Afu2g07570 (Alt. Locus), glutamate 5-kinase, putative, (2.7.2.11)"
CADAFUBG00002357,AFUB_023630,CADAFUAG00004616,AFUA_2G07590,"beta-1,6-glucan boisynthesis protein (Knh1), putative; encoded by transcript AFUB_023630A","Afu2g07590 (Alt. Locus), beta-1,6-glucan boisynthesis protein (Knh1), putative, similar to extracellular glucan boisynthesis protein Knh1p (GI:6320154) (Saccharomyces cerevisiae) PMID: 9748432 PMID: 8810042"
CADAFUBG00002358,AFUB_023640,CADAFUAG00004639,AFUA_2G07600,"SRP receptor beta subunit (Srp102), putative; encoded by transcript AFUB_023640A","Afu2g07600 (Alt. Locus), SRP receptor beta subunit (Srp102), putative, similar to signal recognition particle (SRP) receptor beta subunit; involved in SRP-dependent protein targeting; anchors Srp101p to the ER membrane; Srp102p (GI:6322695) (Saccharomyces cerevisiae)"
CADAFUBG00002359,AFUB_023650,CADAFUAG00004745,AFUA_2G07610,"short chain dehydrogenase/reductase, putative; encoded by transcript AFUB_023650A","Afu2g07610 (Alt. Locus), short chain dehydrogenase/reductase, putative"
CADAFUBG00002360,AFUB_023660,CADAFUAG00004826,AFUA_2G07620,"cystathionine beta-synthase, putative; encoded by transcript AFUB_023660A","Afu2g07620 (Alt. Locus), cystathionine beta-synthase, putative, similar to cystathionine beta synthase (GI:21666608) (Magnaporthe grisea), (4.2.1.22)"
CADAFUBG00002361,AFUB_023670,CADAFUAG00004672,AFUA_2G07630,vacuolar H+\/Ca2+ exchanger; encoded by transcript AFUB_023670A,"Afu2g07630 (Alt. Locus), vacuolar H+\/Ca2+ exchanger"
CADAFUBG00002362,AFUB_023680,CADAFUAG00004812,AFUA_2G07640,conserved hypothetical protein; encoded by transcript AFUB_023680A,"Afu2g07640 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002363,AFUB_023690,CADAFUAG00004233,AFUA_2G07650,"RNA binding protein, putative; encoded by transcript AFUB_023690A","Afu2g07650 (Alt. Locus), RNA binding protein, putative, (5.2.1.8)"
CADAFUBG00002364,AFUB_023700,CADAFUAG00004444,AFUA_2G07660,"cyclin-dependent protein kinase complex component (Pcl8), putative; encoded by transcript AFUB_023700A","Afu2g07660 (Alt. Locus), cyclin-dependent protein kinase complex component, putative, similar to cyclin, interacts with Pho85p cyclin-dependent kinase (Cdk) to phosphorylate and regulate glycogen synthase, also activates Pho85p for Glc8p phosphorylation; Pcl8p (GI:6325037) (Saccharomyces cerevisiae)  similar to Pho85p cyclin of the Pho80p subfamily, forms a functional kinase complex with Pho85p which phosphorylates Mmr1p and is regulated by Pho81p; involved in glycogen metabolism, expression is cell-cycle regulated; Pcl7p (GI:6322139) (Saccharomyces cerevisiae)"
CADAFUBG00002365,AFUB_023710,CADAFUAG00004630,AFUA_2G07670,"palmitoyltransferase (SidR), putative; encoded by transcript AFUB_023710A","Afu2g07670 (Alt. Locus), palmitoyltransferase SidR, similar to DHHC-type zinc finger protein SidR (GI:32400328) (Aspergillus oryzae)  similar to palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; Akr1p (GI:6320470) (Saccharomyces cerevisiae)"
CADAFUBG00002366,AFUB_023720,CADAFUAG00004182,AFUA_2G07680,L-ornithine N5-oxygenase SidA; encoded by transcript AFUB_023720A,L-ornithine N5 monooxygenaseL-ornithine N5-oxygenaseL-ornithine N5-oxygenase SidA ;;(EC 1.13.12.-) [Source:UniProtKB/TrEMBL;Acc:Q5SE95]
CADAFUBG00002367,AFUB_023730,CADAFUAG00004297,AFUA_2G07690,"protein kinase, putative; encoded by transcript AFUB_023730A","Afu2g07690 (Alt. Locus), protein kinase, putative, similar to Mitosis inhibitor protein kinase wee1 (EC 2.7.1.-) (P107 proteinkinase homolog). (Swiss-Prot:P07527) (Schizosaccharomyces pombe;)"
CADAFUBG00002368,AFUB_023740,CADAFUAG00004640,AFUA_2G07700,hypothetical protein; encoded by transcript AFUB_023740A,"Afu2g07700 (Alt. Locus), hypothetical protein"
CADAFUBG00002369,AFUB_023750,CADAFUAG00004662,AFUA_2G07710,"mRNA splicing factor RNA helicase (Cdc28), putative; encoded by transcript AFUB_023750A","Afu2g07710 (Alt. Locus), mRNA splicing factor RNA helicase (Cdc28), putative"
CADAFUBG00002370,AFUB_023760,CADAFUAG00004430,AFUA_2G07720,"cytochrome b5, putative; encoded by transcript AFUB_023760A","Afu2g07720 (Alt. Locus), cytochrome b5, putative"
CADAFUBG00002371,AFUB_023770,CADAFUAG00004291,AFUA_2G07730,"nuclear migration protein, putative; encoded by transcript AFUB_023770A","Afu2g07730 (Alt. Locus), nuclear migration protein, putative"
CADAFUBG00002372,AFUB_023780,,,conserved hypothetical protein; encoded by transcript AFUB_023780A,
CADAFUBG00002373,AFUB_023790,CADAFUAG00004802,AFUA_2G07750,"haloacid dehalogenase, type II; encoded by transcript AFUB_023790A","Afu2g07750 (Alt. Locus), haloacid dehalogenase, type II, (3.8.1.2)"
CADAFUBG00002374,AFUB_023800,CADAFUAG00004678,AFUA_2G07760,hypothetical protein; encoded by transcript AFUB_023800A,"Afu2g07760 (Alt. Locus), hypothetical protein"
CADAFUBG00002375,AFUB_023810,CADAFUAG00004725,AFUA_2G07770,Ras small monomeric GTPase RasB; encoded by transcript AFUB_023810A,Ras GTPaseRasB ; [Source:UniProtKB/TrEMBL;Acc:Q6VTD4]
CADAFUBG00002376,AFUB_023820,CADAFUAG00004785,AFUA_2G07780,"acyl-CoA synthetase, putative; encoded by transcript AFUB_023820A","Afu2g07780 (Alt. Locus), acyl-CoA synthetase, putative, (6.2.1.-)"
CADAFUBG00002377,AFUB_023830,,,hypothetical protein; encoded by transcript AFUB_023830A,
CADAFUBG00002378,AFUB_023840,CADAFUAG00004016,AFUA_2G07810,"cytosolic hydroxymethyltransferase, putative; encoded by transcript AFUB_023840A","Afu2g07810 (Alt. Locus), cytosolic hydroxymethyltransferase, putative, (2.1.2.-)"
CADAFUBG00002379,AFUB_023850,CADAFUAG00004290,AFUA_2G07820,MOSC domain protein; encoded by transcript AFUB_023850A,"Afu2g07820 (Alt. Locus), MOSC domain protein"
CADAFUBG00002380,AFUB_023860,CADAFUAG00004234,AFUA_2G07830,conserved hypothetical protein; encoded by transcript AFUB_023860A,"Afu2g07830 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002381,AFUB_023870,CADAFUAG00004460,AFUA_2G07840,"competence/damage-inducible protein CinA, putative; encoded by transcript AFUB_023870A","Afu2g07840 (Alt. Locus), competence/damage-inducible protein CinA, putative, similar to competence-specific protein CinA (GI:995565) (Streptococcus pneumoniae) PMID: 7538190"
CADAFUBG00002382,AFUB_023880,CADAFUAG00004165,AFUA_2G07860,hypothetical protein; encoded by transcript AFUB_023880A,"Afu2g07860 (Alt. Locus), hypothetical protein"
CADAFUBG00002383,AFUB_023890,CADAFUAG00004577,AFUA_2G07870,"Patatin-like serine hydrolase, putative; encoded by transcript AFUB_023890A","Afu2g07870 (Alt. Locus), Patatin-like serine hydrolase, putative"
CADAFUBG00002384,AFUB_023900,CADAFUAG00004860,AFUA_2G07880,DUF803 domain membrane protein; encoded by transcript AFUB_023900A,"Afu2g07880 (Alt. Locus), DUF803 domain membrane protein, contain a DUF803 domain"
CADAFUBG00002385,AFUB_023910,CADAFUAG00004173,AFUA_2G07890,conserved hypothetical protein; encoded by transcript AFUB_023910A,"Afu2g07890 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002386,AFUB_023920,CADAFUAG00004724,AFUA_2G07900,APSES transcription factor StuA; encoded by transcript AFUB_023920A,"Afu2g07900 (Alt. Locus), APSES transcription factor StuA, similar to basic helix-loop-helix transcription factor StuA (GI:20563199) (Penicillium marneffei) PMID: 11994146"
CADAFUBG00002387,AFUB_023930,CADAFUAG00004599,AFUA_2G07910,myo-inositol transporter; encoded by transcript AFUB_023930A,"Afu2g07910 (Alt. Locus), myo-inositol transporter"
CADAFUBG00002388,AFUB_023940,CADAFUAG00004154,AFUA_2G07920,"cytochrome P450 monooxygenase, putative; encoded by transcript AFUB_023940A","Afu2g07920 (Alt. Locus), cytochrome P450 monooxygenase, putative, (1.14.-.-)"
CADAFUBG00002389,AFUB_023950,CADAFUAG00004125,AFUA_2G07930,hypothetical protein; encoded by transcript AFUB_023950A,"Afu2g07930 (Alt. Locus), hypothetical protein"
CADAFUBG00002390,AFUB_023960,CADAFUAG00004758,AFUA_2G07940,"NADPH-cytochrome P450 reductase (CprA), putative; encoded by transcript AFUB_023960A","Afu2g07940 (Alt. Locus), NADPH-cytochrome P450 reductase (CprA), putative, similar to NADPH-cytochrome P450 reductase (SP:Q00141) (Aspergillus niger) PMID: 7646819, (1.6.2.4)"
CADAFUBG00002391,AFUB_023970,CADAFUAG00003948,AFUA_2G07950,"ATP dependent RNA helicase, putative; encoded by transcript AFUB_023970A","Afu2g07950 (Alt. Locus), ATP dependent RNA helicase, putative"
CADAFUBG00002392,AFUB_023980,CADAFUAG00004516,AFUA_2G07960,"translational activator, putative; encoded by transcript AFUB_023980A","Afu2g07960 (Alt. Locus), translational activator, putative"
CADAFUBG00002393,AFUB_023990,CADAFUAG00004711,AFUA_2G07970,60S ribosomal protein L19; encoded by transcript AFUB_023990A,"Afu2g07970 (Alt. Locus), 60S ribosomal protein L19"
CADAFUBG00002394,AFUB_024000,,,conserved hypothetical protein; encoded by transcript AFUB_024000A,
CADAFUBG00002395,AFUB_024010,CADAFUAG00004255,AFUA_2G08000,conserved hypothetical protein; encoded by transcript AFUB_024010A,"Afu2g08000 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002396,AFUB_024020,CADAFUAG00004032,AFUA_2G08010,conserved hypothetical protein; encoded by transcript AFUB_024020A,"Afu2g08010 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002397,AFUB_024030,CADAFUAG00003923,AFUA_2G08020,hypothetical protein; encoded by transcript AFUB_024030A,"Afu2g08020 (Alt. Locus), hypothetical protein"
CADAFUBG00002398,AFUB_024040,CADAFUAG00004712,AFUA_2G08030,hypothetical protein; encoded by transcript AFUB_024040A,"Afu2g08030 (Alt. Locus), hypothetical protein"
CADAFUBG00002399,AFUB_024050,CADAFUAG00004446,AFUA_2G08040,"C6 finger domain protein, putative; encoded by transcript AFUB_024050A","Afu2g08040 (Alt. Locus), C6 finger domain protein, putative"
CADAFUBG00002400,AFUB_024060,CADAFUAG00004852,AFUA_2G08050,short chain dehydrogenase/reductase family protein; encoded by transcript AFUB_024060A,"Afu2g08050 (Alt. Locus), short chain dehydrogenase/reductase family protein, (1.-.-.-)"
CADAFUBG00002401,AFUB_024070,CADAFUAG00004503,AFUA_2G08060,"involucrin repeat protein, putative; encoded by transcript AFUB_024070A","Afu2g08060 (Alt. Locus), involucrin repeat protein"
CADAFUBG00002402,AFUB_024080,CADAFUAG00004397,AFUA_2G08070,"CorA family metal ion transporter, putative; encoded by transcript AFUB_024080A","Afu2g08070 (Alt. Locus), CorA family metal ion transporter, putative"
CADAFUBG00002403,AFUB_024090,CADAFUAG00004798,AFUA_2G08080,"phospholipid metabolism enzyme regulator, putative; encoded by transcript AFUB_024090A","Afu2g08080 (Alt. Locus), phospholipid metabolism enzyme regulator, putative"
CADAFUBG00002404,AFUB_024100,CADAFUAG00004713,AFUA_2G08090,conserved hypothetical protein; encoded by transcript AFUB_024100A,"Afu2g08090 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002405,AFUB_024119,CADAFUAG00003983,AFUA_2G08100,hypothetical protein; encoded by transcript AFUB_024119A,"Afu2g08100 (Alt. Locus), hypothetical protein"
CADAFUBG00002406,AFUB_024120,CADAFUAG00004311,AFUA_2G08110,hexokinase family protein; encoded by transcript AFUB_024120A,"Afu2g08110 (Alt. Locus), hexokinase family protein, (2.7.1.-)"
CADAFUBG00002407,AFUB_024130,CADAFUAG00004453,AFUA_2G08120,"MFS monosaccharide transporter (Hxt8), putative; encoded by transcript AFUB_024130A","Afu2g08120 (Alt. Locus), MFS monosaccharide transporter (Hxt8), putative, similar to hexose transporter HXT8 (SP:P40886) (Saccharomyces cerevisiae)"
CADAFUBG00002408,AFUB_024140,CADAFUAG00004498,AFUA_2G08130,conserved hypothetical protein; encoded by transcript AFUB_024140A,"Afu2g08130 (Alt. Locus), 60S ribosomal protein L44, potential sequencing error  similar to 60S ribosomal protein L44 (60S ribosomal protein L41) (Swiss-Prot:P52809) (Pichia jadinii)  similar to 60S ribosomal protein L42 (L44) (YL27) (YP44) (L41) (Swiss-Prot:P02405) (Saccharomyces cerevisiae) PubMed=1729213"
CADAFUBG00002409,AFUB_024150,CADAFUAG00004208,AFUA_2G08140,conserved hypothetical protein; encoded by transcript AFUB_024150A,"Afu2g08140 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002410,AFUB_024160,CADAFUAG00004830,AFUA_2G08150,"NEDD8-like protein (RubA), putative; encoded by transcript AFUB_024160A","Afu2g08150 (Alt. Locus), NEDD8-like protein (RubA), putative, similar to ubiquitin-like protein 1 (Swiss-Prot:O14399) (Schizosaccharomyces pombe) similar to ubiquitin-like protein NEDD8 (Swiss-Prot:Q15843) (Homo sapiens)"
CADAFUBG00002411,AFUB_024170,CADAFUAG00004806,AFUA_2G08170,"RNA polymerase II transcription factor SIII (Elongin) subunit A,putative; encoded by transcript AFUB_024170A","Afu2g08170 (Alt. Locus), RNA polymerase II transcription factor SIII (Elongin) subunit A, putative"
CADAFUBG00002412,AFUB_024180,CADAFUAG00004034,AFUA_2G08180,flotillin domain protein; encoded by transcript AFUB_024180A,"Afu2g08180 (Alt. Locus), flotillin domain protein, similar to nodulin (GI:3851530) (Glycine max) similar to flotillin 1 (GI:5031699) (Homo sapiens)  potential sequencing error"
CADAFUBG00002413,AFUB_024190,CADAFUAG00004141,AFUA_2G08190,"tubulin-specific chaperone Rbl2, putative; encoded by transcript AFUB_024190A","Afu2g08190 (Alt. Locus), tubulin-specific chaperone Rbl2, putative, similar to protein involved in microtubule morphogenesis, required for protection from excess free beta-tubulin; proposed to be involved the folding of beta-tubulin; Rbl2p (GI:6324839) (Saccharomyces cerevisiae)"
CADAFUBG00002414,AFUB_024200,CADAFUAG00003947,AFUA_2G08210,conserved hypothetical protein; encoded by transcript AFUB_024200A,"Afu2g08210 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002415,AFUB_024210,CADAFUAG00004394,AFUA_2G08230,"MFS transporter, putative; encoded by transcript AFUB_024210A","Afu2g08230 (Alt. Locus), MFS transporter, putative"
CADAFUBG00002416,AFUB_024220,CADAFUAG00004540,AFUA_2G08240,"C6 transcription factor, putative; encoded by transcript AFUB_024220A","Afu2g08240 (Alt. Locus), C6 transcription factor, putative"
CADAFUBG00002417,AFUB_024230,CADAFUAG00004416,AFUA_2G08250,"glycerol 3-phosphate dehydrogenase (GfdB), putative; encoded by transcript AFUB_024230A","Afu2g08250 (Alt. Locus), glycerol 3-phosphate dehydrogenase (GfdB), putative, similar to glycerol 3-phosphate dehydrogenase GfdB (NAD+) (GI:40739420) (Aspergillus nidulans) similar to glycerol 3-phosphate dehydrogenase GfdA (NAD+) (GI:12656027) (Aspergillus nidulans)  potential sequencing error, (1.1.1.8)"
CADAFUBG00002418,AFUB_024240,CADAFUAG00004618,AFUA_2G08260,"FMN binding oxidoreductase, putative; encoded by transcript AFUB_024240A","Afu2g08260 (Alt. Locus), FMN binding oxidoreductase, putative, (1.-.-.-)"
CADAFUBG00002419,AFUB_024247,CADAFUAG00004485,AFUA_2G08280,NADP-dependent malic enzyme MaeA; encoded by transcript AFUB_024247A,"Afu2g08280 (Alt. Locus), NADP-dependent malic enzyme MaeA, similar to GB:AAN63880.1: NADP-dependent malic enzyme (Emericella             nidulans), (1.1.1.40)"
CADAFUBG00002420,AFUB_024260,CADAFUAG00004588,AFUA_2G08290,conserved hypothetical protein; encoded by transcript AFUB_024260A,"Afu2g08290 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002421,AFUB_024270,CADAFUAG00004529,AFUA_2G08300,"DnaJ domain protein, putative; encoded by transcript AFUB_024270A","Afu2g08300 (Alt. Locus), DnaJ domain protein, putative"
CADAFUBG00002422,AFUB_024280,CADAFUAG00004870,AFUA_2G08320,"U3 small nucleolar ribonucleoprotein subunit (Imp3), putative; encoded by transcript AFUB_024280A","Afu2g08320 (Alt. Locus), U3 small nucleolar ribonucleoprotein subunit (Imp3), putative"
CADAFUBG00002423,AFUB_024290,CADAFUAG00004778,AFUA_2G08340,conserved hypothetical protein; encoded by transcript AFUB_024290A,"Afu2g08340 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002424,AFUB_024300,CADAFUAG00004124,AFUA_2G08350,"MFS allantoate transporter, putative; encoded by transcript AFUB_024300A","Afu2g08350 (Alt. Locus), MFS allantoate transporter, putative"
CADAFUBG00002425,AFUB_024310,CADAFUAG00004185,AFUA_2G08360,orotidine 5'-phosphate decarboxylase PyrG; encoded by transcript AFUB_024310A identical to PYRG protein; orotidine-5'-monophosphate decarboxylase (GI:3929346) [Aspergillus fumigatus] PMID: 8926121,Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)(OMP decarboxylase)(OMPdecase)(OMPDCase)(Uridine 5'-monophosphate synthase)(UMP synthase) [Source:UniProtKB/Swiss-Prot;Acc:O13410]
CADAFUBG00002426,AFUB_024320,CADAFUAG00004054,AFUA_2G08370,"glutathione S-transferase, putative; encoded by transcript AFUB_024320A","Afu2g08370 (Alt. Locus), glutathione S-transferase, putative, (2.5.1.-)"
CADAFUBG00002427,AFUB_024330,CADAFUAG00004306,AFUA_2G08380,"diacylglycerol O-acyltransferase (DgaT), putative; encoded by transcript AFUB_024330A","Afu2g08380 (Alt. Locus), diacylglycerol O-acyltransferase (DgaT), putative, similar to diacylglycerol O-acyltransferase (DGAT) GI:15224779 (Arabidopsis thaliana) contains an MBOAT domain and a heme-binding site, (2.3.1.20)"
CADAFUBG00002428,AFUB_024340,CADAFUAG00003908,AFUA_2G08390,WD repeat protein; encoded by transcript AFUB_024340A,Polyadenylation factor subunit 2  [Source:UniProtKB/Swiss-Prot;Acc:Q4X1Y0]
CADAFUBG00002429,AFUB_024350,CADAFUAG00003962,AFUA_2G08400,integral membrane protein; encoded by transcript AFUB_024350A,"Afu2g08400 (Alt. Locus), integral membrane protein"
CADAFUBG00002430,AFUB_024360,CADAFUAG00003978,AFUA_2G08410,"peroxisomal membrane protein Pex17, putative; encoded by transcript AFUB_024360A","Afu2g08410 (Alt. Locus), peroxisomal membrane protein Pex17, putative"
CADAFUBG00002431,AFUB_024370,CADAFUAG00004396,AFUA_2G08420,prenyl cysteine carboxyl methyltransferase Ste14; encoded by transcript AFUB_024370A,"Afu2g08420 (Alt. Locus), prenyl cysteine carboxyl methyltransferase Ste14, similar to TPA: prenylcystein carboxymethyl transferase Ste14 (GI:34482036) (Emericella nidulans), (2.1.1.100)"
CADAFUBG00002432,AFUB_024380,CADAFUAG00004284,AFUA_2G08430,"acetyltransferase, CysE/LacA/LpxA/NodL family; encoded by transcript AFUB_024380A","Afu2g08430 (Alt. Locus), acetyltransferase, CysE/LacA/LpxA/NodL family, (2.3.1.-)"
CADAFUBG00002433,AFUB_024390,CADAFUAG00004632,AFUA_2G08440,"ubiquitin C-terminal hydrolase, putative; encoded by transcript AFUB_024390A","Afu2g08440 (Alt. Locus), ubiquitin C-terminal hydrolase, putative, contains a UCH domain similar to ubiquitin-specific protease FAT FACETS (FAF) (GI:6013477) (Drosophila melanogaster), (3.1.2.15)"
CADAFUBG00002434,AFUB_024400,CADAFUAG00004877,AFUA_2G08450,"transcription factor TFIIE complex alpha subunit, putative; encoded by transcript AFUB_024400A","Afu2g08450 (Alt. Locus), transcription factor TFIIE complex alpha subunit, putative"
CADAFUBG00002435,AFUB_024410,,,"tRNA pseudouridine synthase, putative; encoded by transcript AFUB_024410A",
CADAFUBG00002436,AFUB_024420,CADAFUAG00004104,AFUA_2G08470,"GTP binding protein (Bud4), putative; encoded by transcript AFUB_024420A","Afu2g08470 (Alt. Locus), GTP binding protein (Bud4), putative"
CADAFUBG00002437,AFUB_024430,CADAFUAG00004855,AFUA_2G08480,"ATP-dependent RNA helicase Mrh4, putative; encoded by transcript AFUB_024430A","ATP-dependent RNA helicase mrh4, mitochondrial Precursor (EC 3.6.1.-) [Source:UniProtKB/Swiss-Prot;Acc:Q4X1X0]"
CADAFUBG00002438,AFUB_024440,CADAFUAG00004661,AFUA_2G08500,"carboxylesterase, putative; encoded by transcript AFUB_024440A","Afu2g08500 (Alt. Locus), carboxylesterase, putative, (3.1.1.-)"
CADAFUBG00002439,AFUB_024450,CADAFUAG00004791,AFUA_2G08510,SET domain protein; encoded by transcript AFUB_024450A,Histone-lysine N-methyltransferase set9 (EC 2.1.1.43)(SET domain protein 9) [Source:UniProtKB/Swiss-Prot;Acc:Q4X1W8]
CADAFUBG00002440,AFUB_024460,CADAFUAG00004326,AFUA_2G08520,50S ribosomal protein L14; encoded by transcript AFUB_024460A,"Afu2g08520 (Alt. Locus), 50S ribosomal protein L14"
CADAFUBG00002441,AFUB_024470,,,conserved hypothetical protein; encoded by transcript AFUB_024470A,
CADAFUBG00002442,AFUB_024480,CADAFUAG00004281,AFUA_2G08550,peptidyl-prolyl cis/trans isomerase; encoded by transcript AFUB_024480A,"Afu2g08550 (Alt. Locus), peptidyl-prolyl cis/trans isomerase, (5.2.1.8)"
CADAFUBG00002443,AFUB_024490,CADAFUAG00004433,AFUA_2G08560,conserved hypothetical protein; encoded by transcript AFUB_024490A,"Afu2g08560 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002444,AFUB_024500,CADAFUAG00004718,AFUA_2G08570,small subunit of nuclear cap-binding protein complex; encoded by transcript AFUB_024500A,"Afu2g08570 (Alt. Locus), small subunit of nuclear cap-binding protein complex"
CADAFUBG00002445,AFUB_024510,CADAFUAG00004805,AFUA_2G08580,pyridoxine; encoded by transcript AFUB_024510A,"Afu2g08580 (Alt. Locus), pyridoxine, similar to GB:AAK50016.1: pyridoxine (Emericella nidulans), (2.4.2.-)"
CADAFUBG00002446,AFUB_024520,CADAFUAG00004371,AFUA_2G08590,4'-phosphopantetheinyl transferase NpgA; encoded by transcript AFUB_024520A,4'-phosphopantetheinyl transferase NpgA/CfwAPhosphopantetheinyl transferase A ; [Source:UniProtKB/TrEMBL;Acc:Q4X1W0]
CADAFUBG00002447,AFUB_024530,CADAFUAG00003901,AFUA_2G08600,"1-acylglycerol-3-phosphate acyltransferase (AtaAp), putative; encoded by transcript AFUB_024530A","Afu2g08600 (Alt. Locus), 1-acylglycerol-3-phosphate acyltransferase (AtaAp), putative, similar to AtaAp (GI:5002178) (Emericella nidulans), (2.3.1.51)"
CADAFUBG00002448,AFUB_024540,CADAFUAG00004203,AFUA_2G08620,"20S cyclosome subunit (BimA/Nuc2/Cdc27), putative; encoded by transcript AFUB_024540A","Afu2g08620 (Alt. Locus), 20S cyclosome subunit (BimA/Nuc2/Cdc27), putative, similar to nuclear protein BimA (GI:114987) (Aspergillus nidulans) similar to nuclear scaffold-like protein NUC2 (GI:82817) (Schizosaccharomyces pombe) contains TPR domains"
CADAFUBG00002449,AFUB_024550,CADAFUAG00004091,AFUA_2G08630,conserved hypothetical protein; encoded by transcript AFUB_024550A,"Afu2g08630 (Alt. Locus), DUF788 domain protein"
CADAFUBG00002450,AFUB_024560,CADAFUAG00004491,AFUA_2G08640,conserved hypothetical protein; encoded by transcript AFUB_024560A,"Afu2g08640 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002451,AFUB_024570,CADAFUAG00004363,AFUA_2G08650,RING finger membrane protein; encoded by transcript AFUB_024570A,"Afu2g08650 (Alt. Locus), RING finger membrane protein"
CADAFUBG00002452,AFUB_024580,CADAFUAG00003911,AFUA_2G08660,conserved hypothetical protein; encoded by transcript AFUB_024580A,"Afu2g08660 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00002453,AFUB_024590,CADAFUAG00004783,AFUA_2G08670,acetyl-CoA carboxylase; encoded by transcript AFUB_024590A,"Afu2g08670 (Alt. Locus), acetyl-CoA carboxylase"
CADAFUBG00002454,AFUB_024600,CADAFUAG00004374,AFUA_2G08680,hypothetical protein; encoded by transcript AFUB_024600A,"Afu2g08680 (Alt. Locus), hypothetical protein"
